Duin,KEOLIS,6030,Duin,Duin,,Duin,,Duin,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Sallandsekant,KEOLIS,6011,Sallandsekant,Sallandsekant,,Sallandsekant,,Sallandsekant,
Nobelhorst,KEOLIS,6009,Nobelhorst,Nobelhorst,,Nobelhorst,,Nobelhorst,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Sallandsekant,KEOLIS,6011,Sallandsekant,Sallandsekant,,Sallandsekant,,Sallandsekant,
Nobelhorst,KEOLIS,6009,Nobelhorst,Nobelhorst,,Nobelhorst,,Nobelhorst,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Sallandsekant,KEOLIS,6011,Sallandsekant,Sallandsekant,,Sallandsekant,,Sallandsekant,
Nobelhorst,KEOLIS,6009,Nobelhorst,Nobelhorst,,Nobelhorst,,Nobelhorst,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Danswijk,KEOLIS,6035,Danswijk,Danswijk,,Danswijk,,Danswijk,
Filmwijk,KEOLIS,6032,Filmwijk,Filmwijk,,Filmwijk,,Filmwijk,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Station,KEOLIS,101,Station,Station,,Station,,Station,
Schalkhaar,KEOLIS,2015,Schalkhaar,Schalkhaar,,Schalkhaar,,Schalkhaar,
Station,KEOLIS,101,Station,Station,,Station,,Station,
Schalkhaar,KEOLIS,2015,Schalkhaar,Schalkhaar,,Schalkhaar,,Schalkhaar,
Station,KEOLIS,101,Station,Station,,Station,,Station,
Schalkhaar,KEOLIS,2015,Schalkhaar,Schalkhaar,,Schalkhaar,,Schalkhaar,
De Vijfhoek,KEOLIS,2006,De Vijfhoek,De Vijfhoek,,De Vijfhoek,,De Vijfhoek,
De Vijfhoek via Ziekenhuis,KEOLIS,2008,De Vijfhoek,De Vijfhoek via Ziekenhuis,via Ziekenhuis,De Vijfhoek,via Ziekenhuis,De Vijfhoek,
Station via ziekenhuis,KEOLIS,2022,Station,Station via ziekenhuis,via ziekenhuis,Station,via ziekenhuis,Station,
Station,KEOLIS,101,Station,Station,,Station,,Station,
De Vijfhoek,KEOLIS,2006,De Vijfhoek,De Vijfhoek,,De Vijfhoek,,De Vijfhoek,
De Vijfhoek via Ziekenhuis,KEOLIS,2008,De Vijfhoek,De Vijfhoek via Ziekenhuis,via Ziekenhuis,De Vijfhoek,via Ziekenhuis,De Vijfhoek,
Station via ziekenhuis,KEOLIS,2022,Station,Station via ziekenhuis,via ziekenhuis,Station,via ziekenhuis,Station,
Station,KEOLIS,101,Station,Station,,Station,,Station,
De Vijfhoek,KEOLIS,2006,De Vijfhoek,De Vijfhoek,,De Vijfhoek,,De Vijfhoek,
De Vijfhoek via Ziekenhuis,KEOLIS,2008,De Vijfhoek,De Vijfhoek via Ziekenhuis,via Ziekenhuis,De Vijfhoek,via Ziekenhuis,De Vijfhoek,
Station via ziekenhuis,KEOLIS,2022,Station,Station via ziekenhuis,via ziekenhuis,Station,via ziekenhuis,Station,
Station,KEOLIS,101,Station,Station,,Station,,Station,
De Vijfhoek,KEOLIS,2006,De Vijfhoek,De Vijfhoek,,De Vijfhoek,,De Vijfhoek,
De Vijfhoek via Ziekenhuis,KEOLIS,2008,De Vijfhoek,De Vijfhoek via Ziekenhuis,via Ziekenhuis,De Vijfhoek,via Ziekenhuis,De Vijfhoek,
Station via ziekenhuis,KEOLIS,2022,Station,Station via ziekenhuis,via ziekenhuis,Station,via ziekenhuis,Station,
Station,KEOLIS,101,Station,Station,,Station,,Station,
De Vijfhoek,KEOLIS,2006,De Vijfhoek,De Vijfhoek,,De Vijfhoek,,De Vijfhoek,
De Vijfhoek via Ziekenhuis,KEOLIS,2008,De Vijfhoek,De Vijfhoek via Ziekenhuis,via Ziekenhuis,De Vijfhoek,via Ziekenhuis,De Vijfhoek,
Station via ziekenhuis,KEOLIS,2022,Station,Station via ziekenhuis,via ziekenhuis,Station,via ziekenhuis,Station,
Station,KEOLIS,101,Station,Station,,Station,,Station,
Station,KEOLIS,101,Station,Station,,Station,,Station,
Station via Colmschate Zuid,KEOLIS,2035,Station,Station via Colmschate Zuid,via Colmsch. Z.,Station,via Colmschate Zuid,Station,
Station Colmschate via Colmschate Zuid,KEOLIS,2033,Station Colmsch.,Station Colmschate, via Colmsch. Z.,Station Colmschate, via Colmschate Z.,Station Colmschate,
Station Colmschate,KEOLIS,2034,Station Colmsch.,Station Colmschate,,Station Colmschate,,Station Colmschate,
Station,KEOLIS,101,Station,Station,,Station,,Station,
Station via Colmschate Zuid,KEOLIS,2035,Station,Station via Colmschate Zuid,via Colmsch. Z.,Station,via Colmschate Zuid,Station,
