UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650530,58650530,ALGEMEEN,KEOLIS
58650580,58650580,ALGEMEEN,KEOLIS
58650600,58650600,ALGEMEEN,KEOLIS
58650620,58650620,ALGEMEEN,KEOLIS
58650640,58650640,ALGEMEEN,KEOLIS
58650710,58650710,ALGEMEEN,KEOLIS
58650780,58650780,ALGEMEEN,KEOLIS
58650860,58650860,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650010,58650010,ALGEMEEN,KEOLIS
58650330,58650330,ALGEMEEN,KEOLIS
58650370,58650370,ALGEMEEN,KEOLIS
58650430,58650430,ALGEMEEN,KEOLIS
58650500,58650500,ALGEMEEN,KEOLIS
58650540,58650540,ALGEMEEN,KEOLIS
58650550,58650550,ALGEMEEN,KEOLIS
58650570,58650570,ALGEMEEN,KEOLIS
58650590,58650590,ALGEMEEN,KEOLIS
58650610,58650610,ALGEMEEN,KEOLIS
58650650,58650650,ALGEMEEN,KEOLIS
58650741,58650741,ALGEMEEN,KEOLIS
58650770,58650770,ALGEMEEN,KEOLIS
58650870,58650870,ALGEMEEN,KEOLIS
58650880,58650880,ALGEMEEN,KEOLIS
58655040,58655040,ALGEMEEN,KEOLIS
58650020,58650020,ALGEMEEN,KEOLIS
58650340,58650340,ALGEMEEN,KEOLIS
58650380,58650380,ALGEMEEN,KEOLIS
58650440,58650440,ALGEMEEN,KEOLIS
58650510,58650510,ALGEMEEN,KEOLIS
58650520,58650520,ALGEMEEN,KEOLIS
58650530,58650530,ALGEMEEN,KEOLIS
58650580,58650580,ALGEMEEN,KEOLIS
58650600,58650600,ALGEMEEN,KEOLIS
58650620,58650620,ALGEMEEN,KEOLIS
58650640,58650640,ALGEMEEN,KEOLIS
58650710,58650710,ALGEMEEN,KEOLIS
58650780,58650780,ALGEMEEN,KEOLIS
58650860,58650860,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650011,58650011,ALGEMEEN,KEOLIS
58650430,58650430,ALGEMEEN,KEOLIS
58650520,58650520,ALGEMEEN,KEOLIS
58650535,58650535,ALGEMEEN,KEOLIS
58650560,58650560,ALGEMEEN,KEOLIS
58650580,58650580,ALGEMEEN,KEOLIS
58650710,58650710,ALGEMEEN,KEOLIS
58650780,58650780,ALGEMEEN,KEOLIS
58650860,58650860,ALGEMEEN,KEOLIS
58650880,58650880,ALGEMEEN,KEOLIS
58655040,58655040,ALGEMEEN,KEOLIS
58651330,58651330,ALGEMEEN,KEOLIS
58651370,58651370,ALGEMEEN,KEOLIS
58650010,58650010,ALGEMEEN,KEOLIS
58650440,58650440,ALGEMEEN,KEOLIS
58650470,58650470,ALGEMEEN,KEOLIS
58650550,58650550,ALGEMEEN,KEOLIS
58650570,58650570,ALGEMEEN,KEOLIS
58650741,58650741,ALGEMEEN,KEOLIS
58650770,58650770,ALGEMEEN,KEOLIS
58650870,58650870,ALGEMEEN,KEOLIS
58651000,58651000,ALGEMEEN,KEOLIS
58651340,58651340,ALGEMEEN,KEOLIS
58651380,58651380,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650010,58650010,ALGEMEEN,KEOLIS
