Version;Implicit;DataOwnerCode;OrganizationalUnitCode;Name;OrganizationalUnitType;Description
1;true;CXX;X083;Nijmegen CS - Gennep - Venlo Station;LINE;
1;true;CXX;X085;Nijmegen CS - Druten Busstation;LINE;
1;true;CXX;X089;Nijmegen CS - Druten Busstation;LINE;
1;true;CXX;X099;Nijmegen CS - Grave - Uden Busstation;LINE;
1;true;CXX;X125;Ressen - Nijmegen - Ressen;LINE;
1;true;CXX;X561;Wijchen Station - Malden Schoolstraat;LINE;
1;true;CXX;X562;Beek - Groesbeek - Malden;LINE;
1;true;CXX;X563;Wijchen Mozaiek - Batenburg RK Kerk;LINE;
1;true;CXX;X564;Groesbeek Stekkenberg - Molenhoek Station;LINE;
1;true;CXX;X565;Beuningen Kerk - Wijchen Mozaiek;LINE;
1;true;CXX;X568;Wijchen Moziek - Grave Kindcentrum;LINE;
1;true;CXX;Y070;Steenwijk - Zwartsluis - Zwolle;LINE;
1;true;CXX;Y071;Zwolle - Emmeloord;LINE;
1;true;CXX;Y074;Kampen - Genemuiden - Hasselt - Zwolle;LINE;
1;true;CXX;Y075;Marknesse - Steenwijk;LINE;
1;true;CXX;Y076;Emmeloord - Marknesse - Steenwijk;LINE;
1;true;CXX;Y077;Emmeloord - Lemmer;LINE;
1;true;CXX;Y082;Staphorst - Lichtmis - Kampen;LINE;
1;true;CXX;Y171;Zwolle - Vollenhove;LINE;
1;true;CXX;Y679;Scholierenlijn,  Meppel - Vollenhove;LINE;
1;true;CXX;Z001;Oostburg - Terneuzen;LINE;
1;true;CXX;Z006;Terneuzen - Zelzate;LINE;
1;true;CXX;Z009;Terneuzen, Busstation - DOW;LINE;
1;true;CXX;Z010;Terneuzen - Hulst;LINE;
1;true;CXX;Z019;Hulst - Breda;LINE;
1;true;CXX;Z020;Hulst - Goes;LINE;
1;true;CXX;Z023;'s-Heerenhoek - Goes;LINE;
1;true;CXX;Z027;Yerseke - Goes;LINE;
1;true;CXX;Z031;Kamperland - Goes;LINE;
1;true;CXX;Z042;Brugge - Breskens;LINE;
1;true;CXX;Z050;Middelburg - Terneuzen(Gent);LINE;
1;true;CXX;Z052;Domburg - Middelburg;LINE;
1;true;CXX;Z053;Middelburg - Domburg;LINE;
1;true;CXX;Z056;Middelburg - Vlissingen;LINE;
1;true;CXX;Z057;Middelburg - Vlissingen;LINE;
1;true;CXX;Z058;Middelburg - Vlissingen;LINE;
1;true;CXX;Z065;Middelburg, Station - Podium/Scalda;LINE;
1;true;CXX;Z104;Renesse-Spijkenisse;LINE;
1;true;CXX;Z132;Goes - Zierikzee;LINE;
1;true;CXX;Z133;Middelburg - Oude Tonge;LINE;
1;true;CXX;Z134;Zierikzee - Brouwershaven - Zierikzee;LINE;
1;true;CXX;Z135;Middelharnis-Ooltgensplaat;LINE;
1;true;CXX;Z137;Middelharnis, Gemeentehuis-Binnenhof;LINE;
1;true;CXX;Z138;Herkingen-Middelharnis;LINE;
1;true;CXX;Z160;Goudswaard-Rotterdam;LINE;
1;true;CXX;Z163;Oud-Beijerland-Kralingse Zoom;LINE;
1;true;CXX;Z164;Zuid-Beijerland-Heinenoord;LINE;
1;true;CXX;Z166;Dordrecht-Rotterdam;LINE;
1;true;CXX;Z167;Strijen-Heinenoord;LINE;
1;true;CXX;Z168;'s-Gravendeel-Heinenoord;LINE;
1;true;CXX;Z169;Willemstad-Numansdorp A29;LINE;
1;true;CXX;Z170;Goudswaard-Rotterdam;LINE;
