Version;Implicit;DataOwnerCode;DestCode;DestNameFull;DestNameMain;DestNameDetail;RelevantDestNameDetail;DestNameMain21;DestNameDetail21;DestNameMain19;DestNameDetail19;DestNameMain16;DestNameDetail16;DestIcon;DestColor
1;true;CXX;H00400570;Station ;Station;;false;Station;;Station;;Station;;;
1;true;CXX;H004005751;Daalmeer via Vroonermeer;Daalmeer;via Vroonermeer;true;Daalmeer;via Vroonermeer;Daalmeer;via Vroonermeer;Daalmeer;via Vroonermeer;;
1;true;CXX;H00400575;Daalmeer Rietschoot;Daalmeer;Rietschoot;false;Daalmeer;Rietschoot;Daalmeer;Rietschoot;Daalmeer;Rietschoot;;
1;true;CXX;H00800547;Overdie Bestevaerstraat;Overdie;Bestevaerstraat;false;Overdie;Bestevaerstraat;Overdie;Bestevaerstraat;Overdie;Bestevaerstraat;;
1;true;CXX;H00800570;Station ;Station;;false;Station;;Station;;Station;;;
1;true;CXX;H00843345;Overdie Koelmalaan;Overdie;Koelmalaan;false;Overdie;Koelmalaan;Overdie;Koelmalaan;Overdie;Koelmalaan;;
1;true;CXX;H01000570;Alkmaar Station;Alkmaar;Station;false;Alkmaar;Station;Alkmaar;Station;Alkmaar;Station;;
1;true;CXX;H01000649;St. Pancras Kerkplein;St. Pancras;Kerkplein;false;St. Pancras;Kerkplein;St. Pancras;Kerkplein;St. Pancras;Kerkplein;;
1;true;CXX;H01008357;Oudorp Nijenburgh;Oudorp;Nijenburgh;false;Oudorp;Nijenburgh;Oudorp;Nijenburgh;Oudorp;Nijenburgh;;
1;true;CXX;H01100450;Hoorn Station;Hoorn;Station;false;Hoorn;Station;Hoorn;Station;Hoorn;Station;;
1;true;CXX;H01120256;Zwaag Risdam;Zwaag;Risdam;false;Zwaag;Risdam;Zwaag;Risdam;Zwaag;Risdam;;
1;true;CXX;H01400449;Kersenboogerd ;Kersenboogerd;;false;Kersenboogerd;;Kersenboogerd;;Kersenboogerd;;;
1;true;CXX;H01400450;Kersenboogerd Hoorn Station;Kersenboogerd;Hoorn Station;false;Kersenboogerd;Hoorn Station;Kersenboogerd;Hoorn Station;Kersenboogerd;Hoorn Station;;
1;true;CXX;H01402900;Kersenboogerd ;Kersenboogerd;;false;Kersenboogerd;;Kersenboogerd;;Kersenboogerd;;;
1;true;CXX;H01402905;Kersenboogerd ;Kersenboogerd;;false;Kersenboogerd;;Kersenboogerd;;Kersenboogerd;;;
1;true;CXX;H01434444;Kersenboogerd Hoorn Station;Kersenboogerd;Hoorn Station;false;Kersenboogerd;Hoorn Station;Kersenboogerd;Hoorn Station;Kersenboogerd;Hoorn Station;;
1;true;CXX;H02802501;Den Burg Elemert/Centrum;Den Burg;Elemert/Centrum;false;Den Burg;Elemert/Centrum;Den Burg;Elemert/Centrum;Den Burg;Elemert/Centrum;;
1;true;CXX;H02802508;De Koog Nikadel;De Koog;Nikadel;false;De Koog;Nikadel;De Koog;Nikadel;De Koog;Nikadel;;
1;true;CXX;H02802515;Veerhaven ;Veerhaven;;false;Veerhaven;;Veerhaven;;Veerhaven;;;
1;true;CXX;H02844785;Pelikaanweg ;Pelikaanweg;;false;Pelikaanweg;;Pelikaanweg;;Pelikaanweg;;;
1;true;CXX;H02844787;Texel Californieweg-So What;Texel;Californieweg-So;false;Texel;Californieweg-So;Texel;Californieweg-So;Texel;Californieweg-So;;
1;true;CXX;H02847145;De Koog Epelaan/Dorpsstraat;De Koog;Epelaan/Dorpsstr;false;De Koog;Epelaan/Dorpsstr;De Koog;Epelaan/Dorpsstr;De Koog;Epelaan/Dorpsstr;;
1;true;CXX;H03000623;Julianadorp Dorperweerth;Julianadorp;Dorperweerth;false;Julianadorp;Dorperweerth;Julianadorp;Dorperweerth;Julianadorp;Dorperweerth;;
1;true;CXX;H03002829;Station ;Station;;false;Station;;Station;;Station;;;
1;true;CXX;H03002834;Station Zuid W. ;Station Zuid W.;;false;Station Zuid W.;;Station Zuid W.;;Station Zuid W.;;;
1;true;CXX;H03020269;Julianadorp Tigchelaarstraat;Julianadorp;Tigchelaarstraat;false;Julianadorp;Tigchelaarstraat;Julianadorp;Tigchelaarstraat;Julianadorp;Tigchelaarstraat;;
1;true;CXX;H031028291;Station via Nw D-Helder;Station;via Nw D-Helder;true;Station;via Nw D-Helder;Station;via Nw D-Helder;Station;via Nw D-Helder;;
1;true;CXX;H03102829;Station ;Station;;false;Station;;Station;;Station;;;
1;true;CXX;H03102834;Station Zuid-W ;Station Zuid-W;;false;Station Zuid-W;;Station Zuid-W;;Station Zuid-W;;;
1;true;CXX;H03301734;Nieuwegein Stadscentrum;Nieuwegein;Stadscentrum;false;Nieuwegein;Stadscentrum;Nieuwegein;Stadscentrum;Nieuwegein;Stadscentrum;;
1;true;CXX;H03302829;Station ;Station;;false;Station;;Station;;Station;;;
1;true;CXX;H03302830;Steiger TESO ;Steiger TESO;;false;Steiger TESO;;Steiger TESO;;Steiger TESO;;;
1;true;CXX;H03316889;Papendorp Papendorp;Papendorp;Papendorp;false;Papendorp;Papendorp;Papendorp;Papendorp;Papendorp;Papendorp;;
1;true;CXX;H03402829;Station ;Station;;false;Station;;Station;;Station;;;
1;true;CXX;H03406093;De Schooten ;De Schooten;;false;De Schooten;;De Schooten;;De Schooten;;;
1;true;CXX;H12300508;De Rijp Julianalaan;De Rijp;Julianalaan;false;De Rijp;Julianalaan;De Rijp;Julianalaan;De Rijp;Julianalaan;;
1;true;CXX;H12300509;De Rijp Wollandje;De Rijp;Wollandje;false;De Rijp;Wollandje;De Rijp;Wollandje;De Rijp;Wollandje;;
1;true;CXX;H12300570;Alkmaar Station;Alkmaar;Station;false;Alkmaar;Station;Alkmaar;Station;Alkmaar;Station;;
1;true;CXX;H12300663;Stompetoren Dorp;Stompetoren;Dorp;false;Stompetoren;Dorp;Stompetoren;Dorp;Stompetoren;Dorp;;
1;true;CXX;H12320301;De Rijp Wollandje;De Rijp;Wollandje;false;De Rijp;Wollandje;De Rijp;Wollandje;De Rijp;Wollandje;;
1;true;CXX;H12800450;Hoorn Station;Hoorn;Station;false;Hoorn;Station;Hoorn;Station;Hoorn;Station;;
1;true;CXX;H12800638;Noordbeemster Oosthuizerweg;Noordbeemster;Oosthuizerweg;false;Noordbeemster;Oosthuizerweg;Noordbeemster;Oosthuizerweg;Noordbeemster;Oosthuizerweg;;
1;true;CXX;H12802886;Avenhorn Het Hoog;Avenhorn;Het Hoog;false;Avenhorn;Het Hoog;Avenhorn;Het Hoog;Avenhorn;Het Hoog;;
1;true;CXX;H12820281;Avenhorn Kolblei;Avenhorn;Kolblei;false;Avenhorn;Kolblei;Avenhorn;Kolblei;Avenhorn;Kolblei;;
1;true;CXX;H12900466;Middenbeemster De Buurt;Middenbeemster;De Buurt;false;Middenbeemster;De Buurt;Middenbeemster;De Buurt;Middenbeemster;De Buurt;;
1;true;CXX;H12900500;Purmerend Tramplein;Purmerend;Tramplein;false;Purmerend;Tramplein;Purmerend;Tramplein;Purmerend;Tramplein;;
1;true;CXX;H12900570;Alkmaar Station;Alkmaar;Station;false;Alkmaar;Station;Alkmaar;Station;Alkmaar;Station;;
1;true;CXX;H12900638;Noordbeemster Oosthuizerweg;Noordbeemster;Oosthuizerweg;false;Noordbeemster;Oosthuizerweg;Noordbeemster;Oosthuizerweg;Noordbeemster;Oosthuizerweg;;
1;true;CXX;H13200450;Hoorn Station;Hoorn;Station;false;Hoorn;Station;Hoorn;Station;Hoorn;Station;;
1;true;CXX;H13200452;Hoorn Oscar Romero;Hoorn;Oscar Romero;false;Hoorn;Oscar Romero;Hoorn;Oscar Romero;Hoorn;Oscar Romero;;
1;true;CXX;H13202923;Wervershoof Raadhuisplein;Wervershoof;Raadhuisplein;false;Wervershoof;Raadhuisplein;Wervershoof;Raadhuisplein;Wervershoof;Raadhuisplein;;
1;true;CXX;H13220303;Andijk Gedep.Laanweg;Andijk;Gedep.Laanweg;false;Andijk;Gedep.Laanweg;Andijk;Gedep.Laanweg;Andijk;Gedep.Laanweg;;
1;true;CXX;H13248266;Wervershoof R.K. Kerk;Wervershoof;R.K. Kerk;false;Wervershoof;R.K. Kerk;Wervershoof;R.K. Kerk;Wervershoof;R.K. Kerk;;
1;true;CXX;H13300450;Hoorn Station;Hoorn;Station;false;Hoorn;Station;Hoorn;Station;Hoorn;Station;;
1;true;CXX;H13302898;Hoogwoud Raadhuisstraat;Hoogwoud;Raadhuisstraat;false;Hoogwoud;Raadhuisstraat;Hoogwoud;Raadhuisstraat;Hoogwoud;Raadhuisstraat;;
1;true;CXX;H13320254;Zwaag De Kromme Elleboog;Zwaag;De Kromme Ellebo;false;Zwaag;De Kromme Ellebo;Zwaag;De Kromme Ellebo;Zwaag;De Kromme Ellebo;;
1;true;CXX;H13400450;Hoorn Station;Hoorn;Station;false;Hoorn;Station;Hoorn;Station;Hoorn;Station;;
